Image Size,Features,C,Fold,Train Accuracy,Validation Accuracy,Balanced Accuracy,Body Recall,Face Recall,Actual Margin,Violation Proportion
"(16, 16)",256,0.01,1,0.8695652173913043,0.6666666666666666,0.6493506493506493,0.5714285714285714,0.7272727272727273,4.129983762220562,0.7391304347826086
"(16, 16)",256,0.01,2,0.9130434782608695,0.6666666666666666,0.5974025974025974,0.2857142857142857,0.9090909090909091,4.144964573173735,0.7971014492753623
"(16, 16)",256,0.01,3,0.9142857142857143,0.5882352941176471,0.5857142857142856,0.5714285714285714,0.6,4.16144519858311,0.6571428571428571
"(16, 16)",256,0.01,4,0.9285714285714286,0.5294117647058824,0.5142857142857142,0.42857142857142855,0.6,4.031122339358765,0.7
"(16, 16)",256,0.01,5,0.9,0.5294117647058824,0.5357142857142857,0.5714285714285714,0.5,4.2812601760437925,0.7285714285714285
"(16, 16)",256,0.01,6,0.8840579710144928,0.6666666666666666,0.6233766233766234,0.42857142857142855,0.8181818181818182,3.8074196374635907,0.8405797101449275
"(16, 16)",256,0.01,7,0.8985507246376812,0.4444444444444444,0.44155844155844154,0.42857142857142855,0.45454545454545453,4.13685853226899,0.6811594202898551
"(16, 16)",256,0.01,8,0.9142857142857143,0.7058823529411765,0.7285714285714285,0.8571428571428571,0.6,4.268552654382829,0.6857142857142857
"(16, 16)",256,0.01,9,0.9285714285714286,0.4117647058823529,0.37142857142857144,0.14285714285714285,0.6,4.161410080857395,0.6714285714285714
"(16, 16)",256,0.01,10,0.8571428571428571,0.5294117647058824,0.4714285714285714,0.14285714285714285,0.8,4.2603822258129505,0.6571428571428571
"(16, 16)",256,0.01,11,0.855072463768116,0.6666666666666666,0.6233766233766234,0.42857142857142855,0.8181818181818182,4.283618921925762,0.7101449275362319
"(16, 16)",256,0.01,12,0.9130434782608695,0.6666666666666666,0.6233766233766234,0.42857142857142855,0.8181818181818182,4.176405686087533,0.7391304347826086
"(16, 16)",256,0.01,13,0.8857142857142857,0.6470588235294118,0.5928571428571429,0.2857142857142857,0.9,4.1349520234227075,0.7285714285714285
"(16, 16)",256,0.01,14,0.8857142857142857,0.6470588235294118,0.6357142857142857,0.5714285714285714,0.7,4.228426658286048,0.6714285714285714
"(16, 16)",256,0.01,15,0.9285714285714286,0.47058823529411764,0.44285714285714284,0.2857142857142857,0.6,4.155533930086238,0.6428571428571429
"(16, 16)",256,0.01,16,0.8405797101449275,0.6111111111111112,0.525974025974026,0.14285714285714285,0.9090909090909091,4.408855873266514,0.7391304347826086
"(16, 16)",256,0.01,17,0.8840579710144928,0.6666666666666666,0.6493506493506493,0.5714285714285714,0.7272727272727273,4.212021348038089,0.7391304347826086
"(16, 16)",256,0.01,18,0.8428571428571429,0.5882352941176471,0.5642857142857143,0.42857142857142855,0.7,4.083809194883626,0.6714285714285714
"(16, 16)",256,0.01,19,0.9142857142857143,0.5294117647058824,0.5142857142857142,0.42857142857142855,0.6,3.9985078350309156,0.6857142857142857
"(16, 16)",256,0.01,20,0.9,0.5294117647058824,0.5357142857142857,0.5714285714285714,0.5,4.1725300674613965,0.6428571428571429
"(16, 16)",256,0.01,21,0.8985507246376812,0.5555555555555556,0.5844155844155844,0.7142857142857143,0.45454545454545453,3.999718757298641,0.6811594202898551
"(16, 16)",256,0.01,22,0.8985507246376812,0.6666666666666666,0.6493506493506493,0.5714285714285714,0.7272727272727273,4.030855901513054,0.782608695652174
"(16, 16)",256,0.01,23,0.8571428571428571,0.7058823529411765,0.7071428571428571,0.7142857142857143,0.7,4.217177971861201,0.7285714285714285
"(16, 16)",256,0.01,24,0.8857142857142857,0.7058823529411765,0.6428571428571428,0.2857142857142857,1.0,4.228986726569263,0.7285714285714285
"(16, 16)",256,0.01,25,0.9142857142857143,0.5294117647058824,0.4928571428571428,0.2857142857142857,0.7,4.1033726751602355,0.7
"(16, 16)",256,0.1,1,1.0,0.6111111111111112,0.6038961038961039,0.5714285714285714,0.6363636363636364,1.5283671182514718,0.17391304347826086
"(16, 16)",256,0.1,2,0.9855072463768116,0.6666666666666666,0.6233766233766234,0.42857142857142855,0.8181818181818182,1.3667766386245026,0.3188405797101449
"(16, 16)",256,0.1,3,1.0,0.47058823529411764,0.44285714285714284,0.2857142857142857,0.6,1.614314075458025,0.1
"(16, 16)",256,0.1,4,1.0,0.47058823529411764,0.4857142857142857,0.5714285714285714,0.4,1.7409093839979346,0.14285714285714285
"(16, 16)",256,0.1,5,0.9857142857142858,0.6470588235294118,0.6357142857142857,0.5714285714285714,0.7,1.432866227022101,0.24285714285714285
"(16, 16)",256,0.1,6,1.0,0.7222222222222222,0.7207792207792207,0.7142857142857143,0.7272727272727273,1.5668519743304108,0.10144927536231885
"(16, 16)",256,0.1,7,1.0,0.5,0.512987012987013,0.5714285714285714,0.45454545454545453,1.6141362942757367,0.17391304347826086
"(16, 16)",256,0.1,8,0.9857142857142858,0.7647058823529411,0.7785714285714285,0.8571428571428571,0.7,1.564154149820152,0.2571428571428571
"(16, 16)",256,0.1,9,1.0,0.4117647058823529,0.37142857142857144,0.14285714285714285,0.6,1.5883261920981915,0.15714285714285714
"(16, 16)",256,0.1,10,0.9857142857142858,0.6470588235294118,0.5928571428571429,0.2857142857142857,0.9,1.4833936686196785,0.2
"(16, 16)",256,0.1,11,1.0,0.6111111111111112,0.577922077922078,0.42857142857142855,0.7272727272727273,1.5473619321174663,0.17391304347826086
"(16, 16)",256,0.1,12,0.9855072463768116,0.6111111111111112,0.577922077922078,0.42857142857142855,0.7272727272727273,1.4993772174063487,0.2318840579710145
"(16, 16)",256,0.1,13,1.0,0.6470588235294118,0.6357142857142857,0.5714285714285714,0.7,1.5339014803698912,0.15714285714285714
"(16, 16)",256,0.1,14,0.9857142857142858,0.47058823529411764,0.4857142857142857,0.5714285714285714,0.4,1.5278006763185967,0.2
"(16, 16)",256,0.1,15,1.0,0.35294117647058826,0.3,0.0,0.6,1.6070500060292083,0.2
"(16, 16)",256,0.1,16,1.0,0.6666666666666666,0.6233766233766234,0.42857142857142855,0.8181818181818182,1.4030578617684897,0.2898550724637681
"(16, 16)",256,0.1,17,1.0,0.5555555555555556,0.5584415584415584,0.5714285714285714,0.5454545454545454,1.4843606076777998,0.21739130434782608
"(16, 16)",256,0.1,18,1.0,0.47058823529411764,0.4642857142857143,0.42857142857142855,0.5,1.6008093899865454,0.14285714285714285
"(16, 16)",256,0.1,19,1.0,0.35294117647058826,0.36428571428571427,0.42857142857142855,0.3,1.7411558758421002,0.1
"(16, 16)",256,0.1,20,1.0,0.4117647058823529,0.41428571428571426,0.42857142857142855,0.4,1.526181749810703,0.22857142857142856
"(16, 16)",256,0.1,21,0.9855072463768116,0.5555555555555556,0.5584415584415584,0.5714285714285714,0.5454545454545454,1.7077782153769352,0.14492753623188406
"(16, 16)",256,0.1,22,1.0,0.5555555555555556,0.5584415584415584,0.5714285714285714,0.5454545454545454,1.5078243055102625,0.2028985507246377
"(16, 16)",256,0.1,23,1.0,0.6470588235294118,0.6142857142857143,0.42857142857142855,0.8,1.4637895043842264,0.2
"(16, 16)",256,0.1,24,0.9857142857142858,0.6470588235294118,0.6142857142857143,0.42857142857142855,0.8,1.409020179840967,0.24285714285714285
"(16, 16)",256,0.1,25,1.0,0.47058823529411764,0.44285714285714284,0.2857142857142857,0.6,1.5719307663816267,0.2
"(16, 16)",256,1.0,1,1.0,0.5555555555555556,0.5584415584415584,0.5714285714285714,0.5454545454545454,1.3701321913206768,0.028985507246376812
"(16, 16)",256,1.0,2,1.0,0.7222222222222222,0.6948051948051948,0.5714285714285714,0.8181818181818182,1.2220547993042457,0.014492753623188406
"(16, 16)",256,1.0,3,1.0,0.47058823529411764,0.44285714285714284,0.2857142857142857,0.6,1.6130993217820164,0.014285714285714285
"(16, 16)",256,1.0,4,1.0,0.47058823529411764,0.4857142857142857,0.5714285714285714,0.4,1.5732030854293255,0.014285714285714285
"(16, 16)",256,1.0,5,1.0,0.6470588235294118,0.6357142857142857,0.5714285714285714,0.7,1.2979437012380919,0.014285714285714285
"(16, 16)",256,1.0,6,1.0,0.6666666666666666,0.6493506493506493,0.5714285714285714,0.7272727272727273,1.5025726283061067,0.014492753623188406
"(16, 16)",256,1.0,7,1.0,0.5,0.538961038961039,0.7142857142857143,0.36363636363636365,1.531390121082914,0.014492753623188406
"(16, 16)",256,1.0,8,1.0,0.6470588235294118,0.6571428571428571,0.7142857142857143,0.6,1.3462297049916596,0.014285714285714285
"(16, 16)",256,1.0,9,1.0,0.4117647058823529,0.37142857142857144,0.14285714285714285,0.6,1.5873395980482448,0.014285714285714285
"(16, 16)",256,1.0,10,1.0,0.7058823529411765,0.6642857142857143,0.42857142857142855,0.9,1.2656342284425623,0.014285714285714285
"(16, 16)",256,1.0,11,1.0,0.6111111111111112,0.6038961038961039,0.5714285714285714,0.6363636363636364,1.443286661730071,0.014492753623188406
"(16, 16)",256,1.0,12,1.0,0.6111111111111112,0.577922077922078,0.42857142857142855,0.7272727272727273,1.3024168725733403,0.014492753623188406
"(16, 16)",256,1.0,13,1.0,0.6470588235294118,0.6357142857142857,0.5714285714285714,0.7,1.4566787277123399,0.014285714285714285
"(16, 16)",256,1.0,14,1.0,0.5294117647058824,0.5357142857142857,0.5714285714285714,0.5,1.3509760840385987,0.014285714285714285
"(16, 16)",256,1.0,15,1.0,0.4117647058823529,0.37142857142857144,0.14285714285714285,0.6,1.5542895073047012,0.014285714285714285
"(16, 16)",256,1.0,16,1.0,0.6666666666666666,0.6233766233766234,0.42857142857142855,0.8181818181818182,1.3716992905717593,0.014492753623188406
"(16, 16)",256,1.0,17,1.0,0.5,0.487012987012987,0.42857142857142855,0.5454545454545454,1.3050107801510002,0.014492753623188406
"(16, 16)",256,1.0,18,1.0,0.47058823529411764,0.4642857142857143,0.42857142857142855,0.5,1.4700126446283757,0.014285714285714285
"(16, 16)",256,1.0,19,1.0,0.4117647058823529,0.4357142857142857,0.5714285714285714,0.3,1.616052242210407,0.014285714285714285
"(16, 16)",256,1.0,20,1.0,0.4117647058823529,0.41428571428571426,0.42857142857142855,0.4,1.4627133418244762,0.014285714285714285
"(16, 16)",256,1.0,21,1.0,0.5555555555555556,0.5844155844155844,0.7142857142857143,0.45454545454545453,1.3953645113886428,0.014492753623188406
"(16, 16)",256,1.0,22,1.0,0.5555555555555556,0.5584415584415584,0.5714285714285714,0.5454545454545454,1.5065098883193495,0.014492753623188406
"(16, 16)",256,1.0,23,1.0,0.6470588235294118,0.6142857142857143,0.42857142857142855,0.8,1.3687220352754381,0.014285714285714285
"(16, 16)",256,1.0,24,1.0,0.6470588235294118,0.6142857142857143,0.42857142857142855,0.8,1.2650084364566558,0.014285714285714285
"(16, 16)",256,1.0,25,1.0,0.47058823529411764,0.44285714285714284,0.2857142857142857,0.6,1.4934040483075464,0.014285714285714285
"(32, 32)",1024,0.01,1,1.0,0.6111111111111112,0.577922077922078,0.42857142857142855,0.7272727272727273,4.171022702984964,0.30434782608695654
"(32, 32)",1024,0.01,2,0.9855072463768116,0.7222222222222222,0.6688311688311688,0.42857142857142855,0.9090909090909091,3.8582368187019354,0.5072463768115942
"(32, 32)",1024,0.01,3,1.0,0.47058823529411764,0.4642857142857143,0.42857142857142855,0.5,4.3506491760293295,0.2714285714285714
"(32, 32)",1024,0.01,4,0.9857142857142858,0.4117647058823529,0.41428571428571426,0.42857142857142855,0.4,4.344934498190581,0.3
"(32, 32)",1024,0.01,5,1.0,0.6470588235294118,0.6357142857142857,0.5714285714285714,0.7,3.865047521574471,0.35714285714285715
"(32, 32)",1024,0.01,6,1.0,0.7222222222222222,0.7207792207792207,0.7142857142857143,0.7272727272727273,3.9830344410522014,0.34782608695652173
"(32, 32)",1024,0.01,7,1.0,0.5555555555555556,0.5844155844155844,0.7142857142857143,0.45454545454545453,4.1050488525604,0.30434782608695654
"(32, 32)",1024,0.01,8,0.9857142857142858,0.7647058823529411,0.7785714285714285,0.8571428571428571,0.7,4.277779382061457,0.37142857142857144
"(32, 32)",1024,0.01,9,1.0,0.4117647058823529,0.37142857142857144,0.14285714285714285,0.6,4.209554287790468,0.34285714285714286
"(32, 32)",1024,0.01,10,0.9857142857142858,0.5882352941176471,0.5428571428571429,0.2857142857142857,0.8,4.166982688606878,0.3
"(32, 32)",1024,0.01,11,1.0,0.6111111111111112,0.577922077922078,0.42857142857142855,0.7272727272727273,4.120389332826256,0.37681159420289856
"(32, 32)",1024,0.01,12,0.9855072463768116,0.6111111111111112,0.577922077922078,0.42857142857142855,0.7272727272727273,3.9591060836659286,0.391304347826087
"(32, 32)",1024,0.01,13,1.0,0.6470588235294118,0.6357142857142857,0.5714285714285714,0.7,4.026598175850125,0.32857142857142857
"(32, 32)",1024,0.01,14,0.9857142857142858,0.47058823529411764,0.4857142857142857,0.5714285714285714,0.4,4.16845847518189,0.3
"(32, 32)",1024,0.01,15,1.0,0.4117647058823529,0.37142857142857144,0.14285714285714285,0.6,4.338880733382005,0.2714285714285714
"(32, 32)",1024,0.01,16,1.0,0.7222222222222222,0.6948051948051948,0.5714285714285714,0.8181818181818182,3.8221737453564675,0.43478260869565216
"(32, 32)",1024,0.01,17,1.0,0.5555555555555556,0.5584415584415584,0.5714285714285714,0.5454545454545454,4.06289197626492,0.34782608695652173
"(32, 32)",1024,0.01,18,1.0,0.47058823529411764,0.4642857142857143,0.42857142857142855,0.5,4.171548598782681,0.32857142857142857
"(32, 32)",1024,0.01,19,1.0,0.4117647058823529,0.41428571428571426,0.42857142857142855,0.4,4.287121936725237,0.35714285714285715
"(32, 32)",1024,0.01,20,1.0,0.4117647058823529,0.41428571428571426,0.42857142857142855,0.4,4.3194789956408615,0.3
"(32, 32)",1024,0.01,21,0.9855072463768116,0.6666666666666666,0.7012987012987013,0.8571428571428571,0.5454545454545454,4.369613167493265,0.2898550724637681
"(32, 32)",1024,0.01,22,1.0,0.5,0.512987012987013,0.5714285714285714,0.45454545454545453,4.008434715666368,0.30434782608695654
"(32, 32)",1024,0.01,23,1.0,0.7058823529411765,0.6642857142857143,0.42857142857142855,0.9,3.895263543635928,0.38571428571428573
"(32, 32)",1024,0.01,24,0.9857142857142858,0.5882352941176471,0.5428571428571429,0.2857142857142857,0.8,3.941570188573888,0.4142857142857143
"(32, 32)",1024,0.01,25,1.0,0.4117647058823529,0.39285714285714285,0.2857142857142857,0.5,4.213385154320312,0.2857142857142857
"(32, 32)",1024,0.1,1,1.0,0.6111111111111112,0.6038961038961039,0.5714285714285714,0.6363636363636364,3.630407209370887,0.014492753623188406
"(32, 32)",1024,0.1,2,1.0,0.7222222222222222,0.6948051948051948,0.5714285714285714,0.8181818181818182,3.283031139315312,0.014492753623188406
"(32, 32)",1024,0.1,3,1.0,0.47058823529411764,0.4642857142857143,0.42857142857142855,0.5,4.040623107783301,0.014285714285714285
"(32, 32)",1024,0.1,4,1.0,0.4117647058823529,0.41428571428571426,0.42857142857142855,0.4,3.9348941616634696,0.014285714285714285
